path,status,reason,size_bytes,sha256,deleted_at_utc
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_knn_none_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1745,e566323c800ea4e733b27d1c1b3b38b1094722533194cea07842e8a0450bffa3,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_knn_pca_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1772,735adb648f21b7d06669dde4df9da0894ed87bdbba4388087ebe5fa126bec8f9,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_linear_svm_none_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1720,1f87eeba7ca08896807f3776118a7f7c839a540129517d5c23a3596b3a2fe666,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_linear_svm_pca_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1739,b9d787fb3b6bca234de928c4c14e4978aeb0fbbf45960c2d5b723657ceaa7440,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_logistic_none_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1749,dfc63d80174b61c4b4970a5dc475b9733033aaedb40aadb6b9cf2101d976c861,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_logistic_pca_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1776,2bd7ab458475e7f64d7e206fd44f1e9f3947173a4812458603e604befbc37ab6,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_mlp_none_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1883,113d25e2c03a765ad73c4ce5228fa7d3567d7d7c705e8c8254e8c487bb827c8c,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_mlp_pca_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1930,52c8693f0c88ee0049e8e06ad81b5c4da0c9261cda77b4111f990f2a9d0e5ed8,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_random_forest_none_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1784,22fc008ff97b5b32f2338752d1f10d8df788a60e7450385c20308a80d98853e8,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_2_short_random_forest_pca_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1810,dab38f7de890913a565eddeaeb4dcd0502bbed6a6a7f17f26da3eae41894bdef,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_3_long_knn_none_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1739,36260ae3e7a1a74099dffca000450884d3cb621769d2a39e578a1fdf49f3c8c3,2026-08-10T01:37:59.567414+00:00
reports/classification/time_aligned_prompt_embeddings/bge_m3_text_input_3_long_knn_pca_seed42.json,invalid_alignment,Full-panel embeddings were position-indexed by the legacy panel without metadata-key alignment.,1771,1e1b5663976c3a42ecd5e017da5b741dbb352bfe349bfd5ce3e497511ff85eea,2026-08-10T01:37:59.567414+00:00
